id,code,trading_code,name,contract_type,exchange_code,currency_id,underlying_symbol,underlying_name,underlying_exchange,underlying_type,exercise_price,contract_unit,contract_status,list_date,list_reason,list_price,high_limit,low_limit,expire_date,last_trade_date,exercise_date,delivery_date,is_adjust,delist_date,delist_reason
1,10000001.XSHG,510050C1503M02200,50ETF购3月2200,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.2,10000,DELIST,2015-02-09,合约新挂,0.1812,0.4103,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
2,10000002.XSHG,510050C1503M02250,50ETF购3月2250,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.25,10000,DELIST,2015-02-09,合约新挂,0.1528,0.3819,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
3,10000003.XSHG,510050C1503M02300,50ETF购3月2300,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.3,10000,DELIST,2015-02-09,合约新挂,0.1276,0.3558,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
4,10000004.XSHG,510050C1503M02350,50ETF购3月2350,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.35,10000,DELIST,2015-02-09,合约新挂,0.1054,0.3286,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
5,10000005.XSHG,510050C1503M02400,50ETF购3月2400,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.4,10000,DELIST,2015-02-09,合约新挂,0.0862,0.3044,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
6,10000006.XSHG,510050P1503M02200,50ETF沽3月2200,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.2,10000,DELIST,2015-02-09,合约新挂,0.0788,0.2897,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
7,10000007.XSHG,510050P1503M02250,50ETF沽3月2250,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.25,10000,DELIST,2015-02-09,合约新挂,0.1001,0.321,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
8,10000008.XSHG,510050P1503M02300,50ETF沽3月2300,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.3,10000,DELIST,2015-02-09,合约新挂,0.1246,0.3537,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
9,10000009.XSHG,510050P1503M02350,50ETF沽3月2350,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.35,10000,DELIST,2015-02-09,合约新挂,0.1522,0.3813,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
10,10000010.XSHG,510050P1503M02400,50ETF沽3月2400,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.4,10000,DELIST,2015-02-09,合约新挂,0.1828,0.4119,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
11,10000011.XSHG,510050C1504M02200,50ETF购4月2200,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.2,10000,DELIST,2015-02-09,合约新挂,0.2176,0.4467,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
12,10000012.XSHG,510050C1504M02250,50ETF购4月2250,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.25,10000,DELIST,2015-02-09,合约新挂,0.1903,0.4194,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
13,10000013.XSHG,510050C1504M02300,50ETF购4月2300,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.3,10000,DELIST,2015-02-09,合约新挂,0.1655,0.3937,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
14,10000014.XSHG,510050C1504M02350,50ETF购4月2350,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.35,10000,DELIST,2015-02-09,合约新挂,0.1431,0.3663,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
15,10000015.XSHG,510050C1504M02400,50ETF购4月2400,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.4,10000,DELIST,2015-02-09,合约新挂,0.1231,0.3413,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
16,10000016.XSHG,510050P1504M02200,50ETF沽4月2200,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.2,10000,DELIST,2015-02-09,合约新挂,0.108,0.3189,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
17,10000017.XSHG,510050P1504M02250,50ETF沽4月2250,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.25,10000,DELIST,2015-02-09,合约新挂,0.1303,0.3512,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
18,10000018.XSHG,510050P1504M02300,50ETF沽4月2300,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.3,10000,DELIST,2015-02-09,合约新挂,0.1551,0.3842,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
19,10000019.XSHG,510050P1504M02350,50ETF沽4月2350,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.35,10000,DELIST,2015-02-09,合约新挂,0.1823,0.4114,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
20,10000020.XSHG,510050P1504M02400,50ETF沽4月2400,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.4,10000,DELIST,2015-02-09,合约新挂,0.2119,0.441,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
21,10000021.XSHG,510050C1506M02200,50ETF购6月2200,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.2,10000,DELIST,2015-02-09,合约新挂,0.2815,0.5106,0.0524,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
22,10000022.XSHG,510050C1506M02250,50ETF购6月2250,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.25,10000,DELIST,2015-02-09,合约新挂,0.2555,0.4846,0.0264,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
23,10000023.XSHG,510050C1506M02300,50ETF购6月2300,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.3,10000,DELIST,2015-02-09,合约新挂,0.2314,0.4596,0.0023,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
24,10000024.XSHG,510050C1506M02350,50ETF购6月2350,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.35,10000,DELIST,2015-02-09,合约新挂,0.2091,0.4323,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
25,10000025.XSHG,510050C1506M02400,50ETF购6月2400,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.4,10000,DELIST,2015-02-09,合约新挂,0.1885,0.4067,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
26,10000026.XSHG,510050P1506M02200,50ETF沽6月2200,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.2,10000,DELIST,2015-02-09,合约新挂,0.156,0.3669,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
27,10000027.XSHG,510050P1506M02250,50ETF沽6月2250,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.25,10000,DELIST,2015-02-09,合约新挂,0.1793,0.4002,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
28,10000028.XSHG,510050P1506M02300,50ETF沽6月2300,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.3,10000,DELIST,2015-02-09,合约新挂,0.2044,0.4335,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
29,10000029.XSHG,510050P1506M02350,50ETF沽6月2350,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.35,10000,DELIST,2015-02-09,合约新挂,0.2313,0.4604,0.0022,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
30,10000030.XSHG,510050P1506M02400,50ETF沽6月2400,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.4,10000,DELIST,2015-02-09,合约新挂,0.2599,0.489,0.0308,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
31,10000031.XSHG,510050C1509M02200,50ETF购9月2200,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.2,10000,DELIST,2015-02-09,合约新挂,0.3536,0.5827,0.1245,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
32,10000032.XSHG,510050C1509M02250,50ETF购9月2250,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.25,10000,DELIST,2015-02-09,合约新挂,0.3288,0.5579,0.0997,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
33,10000033.XSHG,510050C1509M02300,50ETF购9月2300,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.3,10000,DELIST,2015-02-09,合约新挂,0.3054,0.5336,0.0763,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
34,10000034.XSHG,510050C1509M02350,50ETF购9月2350,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.35,10000,DELIST,2015-02-09,合约新挂,0.2833,0.5065,0.0542,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
35,10000035.XSHG,510050C1509M02400,50ETF购9月2400,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.4,10000,DELIST,2015-02-09,合约新挂,0.2626,0.4808,0.0335,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
36,10000036.XSHG,510050P1509M02200,50ETF沽9月2200,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.2,10000,DELIST,2015-02-09,合约新挂,0.2055,0.4164,0.0001,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
37,10000037.XSHG,510050P1509M02250,50ETF沽9月2250,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.25,10000,DELIST,2015-02-09,合约新挂,0.2294,0.4503,0.0003,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
38,10000038.XSHG,510050P1509M02300,50ETF沽9月2300,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.3,10000,DELIST,2015-02-09,合约新挂,0.2546,0.4837,0.0255,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
39,10000039.XSHG,510050P1509M02350,50ETF沽9月2350,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.35,10000,DELIST,2015-02-09,合约新挂,0.2813,0.5104,0.0522,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
40,10000040.XSHG,510050P1509M02400,50ETF沽9月2400,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.4,10000,DELIST,2015-02-09,合约新挂,0.3092,0.5383,0.0801,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
41,10000041.XSHG,510050C1503M02450,50ETF购3月2450,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.45,10000,DELIST,2015-02-10,价格波动,0.0571,0.2783,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
42,10000042.XSHG,510050P1503M02450,50ETF沽3月2450,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.45,10000,DELIST,2015-02-10,价格波动,0.1861,0.4192,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
43,10000043.XSHG,510050C1504M02450,50ETF购4月2450,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.45,10000,DELIST,2015-02-10,价格波动,0.0829,0.3041,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
44,10000044.XSHG,510050P1504M02450,50ETF沽4月2450,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.45,10000,DELIST,2015-02-10,价格波动,0.2213,0.4544,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
45,10000045.XSHG,510050C1506M02450,50ETF购6月2450,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.45,10000,DELIST,2015-02-10,价格波动,0.1462,0.3674,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
46,10000046.XSHG,510050P1506M02450,50ETF沽6月2450,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.45,10000,DELIST,2015-02-10,价格波动,0.2632,0.4963,0.0301,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
47,10000047.XSHG,510050C1509M02450,50ETF购9月2450,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.45,10000,DELIST,2015-02-10,价格波动,0.1925,0.4137,0.0001,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
48,10000048.XSHG,510050P1509M02450,50ETF沽9月2450,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.45,10000,DELIST,2015-02-10,价格波动,0.3229,0.556,0.0898,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
49,10000049.XSHG,510050C1503M02500,50ETF购3月2500,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.5,10000,DELIST,2015-02-12,价格波动,0.043,0.269,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
50,10000050.XSHG,510050P1503M02500,50ETF沽3月2500,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.5,10000,DELIST,2015-02-12,价格波动,0.1625,0.4005,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
51,10000051.XSHG,510050C1504M02500,50ETF购4月2500,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.5,10000,DELIST,2015-02-12,价格波动,0.0672,0.2932,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
52,10000052.XSHG,510050P1504M02500,50ETF沽4月2500,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.5,10000,DELIST,2015-02-12,价格波动,0.1842,0.4222,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
53,10000053.XSHG,510050C1506M02500,50ETF购6月2500,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.5,10000,DELIST,2015-02-12,价格波动,0.1169,0.3429,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
54,10000054.XSHG,510050P1506M02500,50ETF沽6月2500,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.5,10000,DELIST,2015-02-12,价格波动,0.2288,0.4668,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
55,10000055.XSHG,510050C1509M02500,50ETF购9月2500,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.5,10000,DELIST,2015-02-12,价格波动,0.1712,0.3972,0.0001,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
56,10000056.XSHG,510050P1509M02500,50ETF沽9月2500,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.5,10000,DELIST,2015-02-12,价格波动,0.2673,0.5053,0.0293,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
57,10000057.XSHG,510050C1503M02550,50ETF购3月2550,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.55,10000,DELIST,2015-02-27,价格波动,0.0279,0.2629,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
58,10000058.XSHG,510050P1503M02550,50ETF沽3月2550,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.55,10000,DELIST,2015-02-27,价格波动,0.1295,0.3745,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
59,10000059.XSHG,510050C1504M02550,50ETF购4月2550,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.55,10000,DELIST,2015-02-27,价格波动,0.0554,0.2904,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
60,10000060.XSHG,510050P1504M02550,50ETF沽4月2550,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.55,10000,DELIST,2015-02-27,价格波动,0.1565,0.4015,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
61,10000061.XSHG,510050C1506M02550,50ETF购6月2550,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.55,10000,DELIST,2015-02-27,价格波动,0.0979,0.3329,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
62,10000062.XSHG,510050P1506M02550,50ETF沽6月2550,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.55,10000,DELIST,2015-02-27,价格波动,0.1908,0.4358,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
63,10000063.XSHG,510050C1509M02550,50ETF购9月2550,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.55,10000,DELIST,2015-02-27,价格波动,0.1515,0.3865,0.0001,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
64,10000064.XSHG,510050P1509M02550,50ETF沽9月2550,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.55,10000,DELIST,2015-02-27,价格波动,0.2221,0.4671,0.0001,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
65,10000065.XSHG,510050C1503M02600,50ETF购3月2600,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.6,10000,DELIST,2015-03-17,价格波动,0.0059,0.2479,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
66,10000066.XSHG,510050P1503M02600,50ETF沽3月2600,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.6,10000,DELIST,2015-03-17,价格波动,0.0986,0.3496,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
67,10000067.XSHG,510050C1504M02600,50ETF购4月2600,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.6,10000,DELIST,2015-03-17,价格波动,0.0411,0.2831,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
68,10000068.XSHG,510050P1504M02600,50ETF沽4月2600,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.6,10000,DELIST,2015-03-17,价格波动,0.1346,0.3856,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
69,10000069.XSHG,510050C1506M02600,50ETF购6月2600,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.6,10000,DELIST,2015-03-17,价格波动,0.0897,0.3317,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
70,10000070.XSHG,510050P1506M02600,50ETF沽6月2600,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.6,10000,DELIST,2015-03-17,价格波动,0.1833,0.4343,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
71,10000071.XSHG,510050C1509M02600,50ETF购9月2600,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.6,10000,DELIST,2015-03-17,价格波动,0.1464,0.3884,0.0001,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
72,10000072.XSHG,510050P1509M02600,50ETF沽9月2600,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.6,10000,DELIST,2015-03-17,价格波动,0.2242,0.4752,0.0001,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
73,10000073.XSHG,510050C1503M02650,50ETF购3月2650,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.65,10000,DELIST,2015-03-18,价格波动,0.0035,0.2471,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
74,10000074.XSHG,510050P1503M02650,50ETF沽3月2650,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.65,10000,DELIST,2015-03-18,价格波动,0.1129,0.3672,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
75,10000075.XSHG,510050C1504M02650,50ETF购4月2650,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.65,10000,DELIST,2015-03-18,价格波动,0.0336,0.2772,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
76,10000076.XSHG,510050P1504M02650,50ETF沽4月2650,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.65,10000,DELIST,2015-03-18,价格波动,0.1469,0.4012,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
77,10000077.XSHG,510050C1506M02650,50ETF购6月2650,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.65,10000,DELIST,2015-03-18,价格波动,0.0866,0.3302,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
78,10000078.XSHG,510050P1506M02650,50ETF沽6月2650,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.65,10000,DELIST,2015-03-18,价格波动,0.1932,0.4475,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
79,10000079.XSHG,510050C1509M02650,50ETF购9月2650,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.65,10000,DELIST,2015-03-18,价格波动,0.1312,0.3748,0.0001,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
80,10000080.XSHG,510050P1509M02650,50ETF沽9月2650,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.65,10000,DELIST,2015-03-18,价格波动,0.24,0.4943,0.0001,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
81,10000084.XSHG,510050P1504M02700,50ETF沽4月2700,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.7,10000,DELIST,2015-03-19,价格波动,0.1379,0.399,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
82,10000085.XSHG,510050C1506M02700,50ETF购6月2700,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.7,10000,DELIST,2015-03-19,价格波动,0.0868,0.339,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
83,10000086.XSHG,510050P1506M02700,50ETF沽6月2700,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.7,10000,DELIST,2015-03-19,价格波动,0.1956,0.4567,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
84,10000087.XSHG,510050C1509M02700,50ETF购9月2700,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.7,10000,DELIST,2015-03-19,价格波动,0.1347,0.3869,0.0001,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
85,10000088.XSHG,510050P1509M02700,50ETF沽9月2700,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.7,10000,DELIST,2015-03-19,价格波动,0.239,0.5001,0.0001,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
86,10000081.XSHG,510050C1503M02700,50ETF购3月2700,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.7,10000,DELIST,2015-03-19,价格波动,0.0049,0.2571,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
87,10000082.XSHG,510050P1503M02700,50ETF沽3月2700,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.7,10000,DELIST,2015-03-19,价格波动,0.0947,0.3558,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
88,10000083.XSHG,510050C1504M02700,50ETF购4月2700,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.7,10000,DELIST,2015-03-19,价格波动,0.0391,0.2913,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
89,10000090.XSHG,510050P1503M02750,50ETF沽3月2750,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.75,10000,DELIST,2015-03-23,价格波动,0.1152,0.3787,0.0001,2015-03-25,2015-03-25,2015-03-25,2015-03-26,0,2015-03-26,合约到期
90,10000091.XSHG,510050C1504M02750,50ETF购4月2750,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.75,10000,DELIST,2015-03-23,价格波动,0.0368,0.2888,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
91,10000092.XSHG,510050P1504M02750,50ETF沽4月2750,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.75,10000,DELIST,2015-03-23,价格波动,0.1489,0.4124,0.0001,2015-04-22,2015-04-22,2015-04-22,2015-04-23,0,2015-04-23,合约到期
92,10000093.XSHG,510050C1506M02750,50ETF购6月2750,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.75,10000,DELIST,2015-03-23,价格波动,0.0901,0.3421,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
93,10000094.XSHG,510050P1506M02750,50ETF沽6月2750,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.75,10000,DELIST,2015-03-23,价格波动,0.2039,0.4674,0.0001,2015-06-24,2015-06-24,2015-06-24,2015-06-25,0,2015-06-25,合约到期
94,10000095.XSHG,510050C1509M02750,50ETF购9月2750,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.75,10000,DELIST,2015-03-23,价格波动,0.1352,0.3872,0.0001,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
95,10000096.XSHG,510050P1509M02750,50ETF沽9月2750,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.75,10000,DELIST,2015-03-23,价格波动,0.2482,0.5117,0.0001,2015-09-23,2015-09-23,2015-09-23,2015-09-24,0,2015-09-24,合约到期
